filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
hat/accessory/crest,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/accessory/crest_centurion,,"bluecarrot16, DCSS authors",CC0,http://opengameart.org/content/dungeon-crawl-32x32-tiles,https://opengameart.org/content/cc0-headgear-icons,https://opengameart.org/content/lpc-helmets-mega-pack,,,
hat/accessory/horns,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/accessory/plumage/female.png,,ElizaWy,"OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,,,,,OK
hat/accessory/plumage_centurion,,"bluecarrot16, DCSS authors",CC0,http://opengameart.org/content/dungeon-crawl-32x32-tiles,https://opengameart.org/content/cc0-headgear-icons,https://opengameart.org/content/lpc-helmets-mega-pack,,,
hat/accessory/wings,,"bluecarrot16, DCSS authors",CC0,http://opengameart.org/content/dungeon-crawl-32x32-tiles,https://opengameart.org/content/cc0-headgear-icons,https://opengameart.org/content/lpc-helmets-mega-pack,,,
hat/helmet/armet,previously called helmet/armor,"bluecarrot16, Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hat/helmet/armet_simple,,"bluecarrot16, Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hat/helmet/barbarian,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/barbarian_nasal,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/barbarian_viking,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/barbuta,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/barbuta_simple,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/bascinet,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/helmet/bascinet_pigface,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/helmet/bascinet_pigface_raised,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/helmet/bascinet_round,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/helmet/bascinet_round_raised,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/helmet/close,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/flattop,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/greathelm,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/horned,,"bluecarrot16, Shaun Williams, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Sander Frenken (castelonia)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-full-plate-golden-armor,https://opengameart.org/content/lpc-full-plate-golden-armor-0,https://opengameart.org/content/lpc-helmets-mega-pack,,
hat/helmet/kettle,previously referred to as chain-hat,Johannes Sjölund (wulax),"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hat/helmet/legion,,"bluecarrot16, Nila122, David Conway Jr. (JaidynReiman), Matthew Krohn (makrohn), Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 2.0, GPL 3.0",https://opengameart.org/content/lpc-roman-armor,,,,,
hat/helmet/mail,,Johannes Sjölund (wulax),"CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hat/helmet/maximus,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/morion,,"ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,,,,,
hat/helmet/nasal,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/norman,,"ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,,,,,
hat/helmet/pointed,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/spangenhelm,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/spangenhelm_viking,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/sugarloaf,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/sugarloaf_simple,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/helmet/xeon,,Stephen Challener (Redshrike),OGA-BY 3.0,https://opengameart.org/content/four-characters-my-lpc-entries,,,,,
hat/visor/grated,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/visor/grated_narrow,,bluecarrot16,"OGA-BY 3.0, CC-BY 4.0, GPL 3.0",https://opengameart.org/content/lpc-helmets,,,,,
hat/visor/horned,,"bluecarrot16, Shaun Williams, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Sander Frenken (castelonia)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-full-plate-golden-armor,https://opengameart.org/content/lpc-full-plate-golden-armor-0,https://opengameart.org/content/lpc-helmets-mega-pack,,
hat/visor/pigface,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/visor/pigface_raised,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/visor/round,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/visor/round_raised,,"bluecarrot16, ElizaWy, Sander Frenken (castelonia)","OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-realistic-helmet-pack,https://opengameart.org/content/lpc-helmets-mega-pack,,,,
hat/visor/slit,,"bluecarrot16, Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
hat/visor/slit_narrow,,"bluecarrot16, Johannes Sjölund (wulax)","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,,,,,
